"","SRR6145425","SRR6145429","SRR6145431","SRR6145433","SRR6145436","SRR6145443"
"ENSG00000243067.7",0,0,0,0,0,0
"ENSG00000236093.1",0,0,0,0,0,0
"ENSG00000228785.1",0,0,0,0,0,0
"ENSG00000234154.10",0,0,0,0,0,0
"ENSG00000243719.7",0,0,0,0,0,0
"ENSG00000234673.1",0,0,0,0,0,0
"ENSG00000234507.9",0,0,0,0,0,0
"ENSG00000232962.11",0,0,0,0,0,0
"ENSG00000228579.1",0,0,0,0,0,0
"ENSG00000224103.7",0,0,0,0,0,0
"ENSG00000230708.10",0,0,0,0,0,0
"ENSG00000223990.1",0,0,0,0,0,0
"ENSG00000230816.1",0,0,0,0,0,0
"ENSG00000225132.9",0,0,0,0,0,0
"ENSG00000227936.1",0,0,0,0,0,0
"ENSG00000237196.1",0,0,0,0,0,0
"ENSG00000227801.8",0,0,0,0,0,0
"ENSG00000266781.2",0,0,0,0,0,0
"ENSG00000227322.11",0,0,0,0,0,0
"ENSG00000226614.11",0,0,0,0,0,0
"ENSG00000228712.2",0,0,0,0,0,0
"ENSG00000226788.3",0,0,0,0,0,0
"ENSG00000230949.1",0,0,0,0,0,0
"ENSG00000237536.1",0,0,0,0,0,0
"ENSG00000224096.5",0,0,0,0,0,0
"ENSG00000225590.9",0,0,0,0,0,0
"ENSG00000235650.6",0,0,0,0,0,0
"ENSG00000226936.4",0,0,0,0,0,0
"ENSG00000204221.11",0,0,0,0,0,0
"ENSG00000237335.8",0,0,0,0,0,0
"ENSG00000224841.9",0,0,0,0,0,0
"ENSG00000112493.12",0,0,0,0,0,0
"ENSG00000229253.5",0,0,0,0,0,0
"ENSG00000227046.8",0,0,0,0,0,0
"ENSG00000226575.3",0,0,0,0,0,0
"ENSG00000232639.4",0,0,0,0,0,0
"ENSG00000230511.1",0,0,0,0,0,0
"ENSG00000235460.1",0,0,0,0,0,0
"ENSG00000224158.1",0,0,0,0,0,0
"ENSG00000225604.1",0,0,0,0,0,0
"ENSG00000263491.2",0,0,0,0,0,0
"ENSG00000235405.2",0,0,0,0,0,0
"ENSG00000239675.1",0,0,0,0,0,0
"ENSG00000235178.4",0,0,0,0,0,0
"ENSG00000225048.1",0,0,0,0,0,0
"ENSG00000229328.1",0,0,0,0,0,0
"ENSG00000237608.1",0,0,0,0,0,0
"ENSG00000275606.1",0,0,0,0,0,0
"ENSG00000229179.1",0,0,0,0,0,0
"ENSG00000225736.3",0,0,0,0,0,0
"ENSG00000226192.1",0,0,0,0,0,0
"ENSG00000229866.1",0,0,0,0,0,0
"ENSG00000227448.1",0,0,0,0,0,0
"ENSG00000236771.2",0,0,0,0,0,0
"ENSG00000232945.4",0,0,0,0,0,0
"ENSG00000228483.2",0,0,0,0,0,0
"ENSG00000229441.1",0,0,0,0,0,0
"ENSG00000224990.1",0,0,0,0,0,0
"ENSG00000233168.1",0,0,0,0,0,0
"ENSG00000235273.1",0,0,0,0,0,0
"ENSG00000234351.1",0,0,0,0,0,0
"ENSG00000232469.1",0,0,0,0,0,0
"ENSG00000237777.4",0,0,0,0,0,0
"ENSG00000228197.1",0,0,0,0,0,0
